State,Country,Lat,Long,4_1_2020,12_1_2020,4_1_2021
,Iran,32.427908,53.688046,3036,48628,62759
,Iraq,33.223191,43.679291,52,12306,14360
,Ireland,53.1424,-7.6921,85,2069,4705
,Israel,31.046051,34.851612,29,2882,6220
,Italy,41.87194,12.56738,13155,56361,109847
,Jamaica,18.1096,-77.2975,3,258,599
,Japan,36.204824,138.252924,72,2109,9173
,Jordan,31.24,36.51,5,2802,6940
,Kazakhstan,48.0196,66.9237,3,2434,3234
,Kenya,-0.0236,37.9062,1,1474,2167
,Kiribati,-3.3704,-168.734,0,0,0
,"Korea, South",35.907757,127.766922,165,526,1737
,Kosovo,42.602636,20.902977,1,1026,1892
,Kuwait,29.31166,47.481766,0,881,1319
,Kyrgyzstan,41.20438,74.766098,0,1275,1500
,Laos,19.85627,102.495496,0,0,0
,Latvia,56.8796,24.6032,0,210,1913
,Lebanon,33.8547,35.8623,14,1033,6286
,Lesotho,-29.61,28.2336,0,44,315
,Liberia,6.428055,-9.429499,0,83,85
,Libya,26.3351,17.228331,0,1196,2680
,Liechtenstein,47.14,9.55,0,16,56
,Lithuania,55.1694,23.8813,6,641,3583
,Luxembourg,49.8153,6.1296,29,330,749
,MS Zaandam,0,0,2,2,2
,Madagascar,-18.766947,46.869107,0,251,433
,Malawi,-13.2543,34.3015,0,185,1118
,Malaysia,4.210484,101.975766,45,363,1278
,Maldives,3.2028,73.2207,0,47,67
,Mali,17.570692,-3.996166,3,160,386
,Malta,35.9375,14.3754,0,141,394
,Marshall Islands,7.1315,171.1845,0,0,0
,Mauritania,21.0079,-10.9408,1,177,449
,Mauritius,-20.348404,57.552152,6,10,12
,Mexico,23.6345,-102.5528,37,106765,203664
,Micronesia,7.4256,150.5508,0,0,0
,Moldova,47.4116,28.3699,5,2323,5003
,Monaco,43.7333,7.4167,1,3,28
,Mongolia,46.8625,103.8467,0,0,8
,Montenegro,42.708678,19.37439,2,504,1286
,Morocco,31.7917,-7.0926,39,5915,8825
,Mozambique,-18.665695,35.529562,0,131,775
,Namibia,-22.9576,18.4904,0,151,528
,Nepal,28.1667,84.25,0,1529,3031
Aruba,Netherlands,12.5211,-69.9683,0,45,86
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,0,3,3
Curacao,Netherlands,12.1696,-68.99,1,7,38
Sint Maarten,Netherlands,18.0425,-63.0548,1,25,27
,Netherlands,52.1326,5.2913,1173,9438,16559
,New Zealand,-40.9006,174.886,1,25,26
,Nicaragua,12.865416,-85.207229,1,161,178
,Niger,17.607789,8.081666,5,75,187
,Nigeria,9.082,8.6753,2,1176,2058
,North Macedonia,41.6086,21.7453,11,1792,3810
,Norway,60.472,8.4689,44,334,673
,Oman,21.512583,55.923255,1,1430,1681
,Pakistan,30.3753,69.3451,34,8166,14613
,Panama,8.538,-80.7821,30,3098,6119
,Papua New Guinea,-6.314993,143.95555,0,7,60
,Paraguay,-23.4425,-58.4438,3,1771,4250
,Peru,-9.19,-75.0152,38,35966,52161
,Philippines,12.879721,121.774017,96,8418,13303
,Poland,51.9194,19.1451,43,17599,53665
,Portugal,39.3999,-8.2245,187,4577,16859
,Qatar,25.3548,51.1839,2,238,295
,Romania,45.9432,24.9668,92,11530,23674
,Russia,61.52401,105.318756,24,40050,97594
,Rwanda,-1.9403,29.8739,0,49,308
,Saint Kitts and Nevis,17.357822,-62.782998,0,0,0
,Saint Lucia,13.9094,-60.9789,0,2,61
,Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,10
,Samoa,-13.759,-172.1046,0,0,0
,San Marino,43.9424,12.4578,26,46,84
,Sao Tome and Principe,0.1864,6.6131,0,17,34
,Saudi Arabia,23.885942,45.079162,16,5907,6676
,Senegal,14.4974,-14.4524,1,333,1054
,Serbia,44.0165,21.0059,28,1652,5345
,Seychelles,-4.6796,55.492,0,0,22
,Sierra Leone,8.460555,-11.779889,0,74,79
,Singapore,1.2833,103.8333,3,29,30
,Slovakia,48.669,19.699,1,868,9790
,Slovenia,46.1512,14.9955,15,1490,4054
,Solomon Islands,-9.6457,160.1562,0,0,0
,Somalia,5.152149,46.199616,0,113,537
,South Africa,-30.5595,22.9375,5,21644,52897
,South Sudan,6.877,31.307,0,61,112
,Spain,40.463667,-3.74922,9387,45511,75541
,Sri Lanka,7.873054,80.771797,3,122,571
,Sudan,12.8628,30.2176,2,1255,2063
,Suriname,3.9193,-56.0278,0,117,177
,Sweden,60.128161,18.643501,455,6681,13498
,Switzerland,46.8182,8.2275,488,4940,10350
,Syria,34.802075,38.996815,2,422,1274
,Taiwan*,23.7,121,5,7,10
,Tajikistan,38.861,71.2761,0,86,90
,Tanzania,-6.369028,34.888822,1,21,21
,Thailand,15.870032,100.992541,12,60,94
,Timor-Leste,-8.874217,125.727539,0,0,0
,Togo,8.6195,0.8248,2,64,110
,Trinidad and Tobago,10.6918,-61.2225,5,120,145
,Tunisia,33.886917,9.537499,12,3260,8843
,Turkey,38.9637,35.2433,277,13936,31713
,US,40,-100,6653,273566,553739
,Uganda,1.373333,32.290275,0,205,335
,Ukraine,48.3794,31.1656,20,12962,34885
,United Arab Emirates,23.424076,53.847818,8,576,1499
Anguilla,United Kingdom,18.2206,-63.0686,0,0,0
Bermuda,United Kingdom,32.3078,-64.7505,0,9,12
British Virgin Islands,United Kingdom,18.4207,-64.64,0,1,1
Cayman Islands,United Kingdom,19.3133,-81.2546,1,2,2
Channel Islands,United Kingdom,49.3723,-2.3644,3,48,86
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,0,0,0
Gibraltar,United Kingdom,36.1408,-5.3536,0,5,94
Isle of Man,United Kingdom,54.2361,-4.5481,1,25,29
Montserrat,United Kingdom,16.742498,-62.187366,0,1,1
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,0,0,0
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,0,6,17
,United Kingdom,55.3781,-3.436,3125,59051,126764
,Uruguay,-32.5228,-55.7658,2,78,1009
,Uzbekistan,41.377491,64.585262,2,611,630
,Vanuatu,-15.3767,166.9592,0,0,0
,Venezuela,6.4238,-66.5897,3,901,1615
,Vietnam,14.058324,108.277199,0,35,35
,West Bank and Gaza,31.9522,35.2332,1,747,2645
,Yemen,15.552727,48.516388,0,605,906
,Zambia,-13.133897,27.849332,0,357,1212
,Zimbabwe,-19.015438,29.154857,1,277,1523
